Sample,X,Y,Z,Label
292,-0.0,-0.03,0.86,V
293,0.0,-0.04,0.9,V
294,-0.01,-0.1,0.9,V
295,-0.15,-0.08,1.0,V
296,-0.12,-0.12,1.09,V
297,0.0,-0.08,0.87,V
298,0.04,-0.07,0.88,V
299,0.03,-0.1,0.83,V
300,-0.1,-0.04,1.01,V
301,-0.18,-0.11,1.13,V
302,-0.09,-0.06,0.98,V
303,0.01,-0.05,0.86,V
304,0.03,-0.05,0.89,V
305,-0.06,-0.09,0.94,V
306,-0.13,-0.06,1.13,V
307,-0.08,-0.13,1.04,V
308,0.04,-0.09,0.88,V
309,0.01,-0.14,0.89,V
310,-0.08,-0.02,0.93,V
311,-0.13,-0.09,1.04,V
312,-0.17,-0.08,1.11,V
313,-0.05,0.02,0.96,V
314,0.03,-0.03,0.8,V
315,-0.03,-0.02,0.96,V
316,-0.11,-0.08,0.93,V
317,-0.1,-0.03,0.96,V
318,-0.05,-0.15,0.95,V
319,0.06,-0.07,0.78,V
320,0.0,-0.06,0.93,V
321,-0.13,-0.03,1.05,V
322,-0.09,-0.01,1.17,V
323,-0.09,-0.12,1.07,V
324,0.02,-0.0,0.83,V
325,-0.01,-0.07,0.87,V
326,-0.03,-0.07,0.95,V
327,-0.15,-0.08,0.99,V
328,-0.16,0.03,1.12,V
329,0.0,-0.11,0.85,V
330,0.08,-0.16,0.75,V
331,-0.1,-0.07,1.0,V
332,-0.14,-0.06,1.06,V
333,-0.14,-0.17,1.11,V
334,0.02,0.0,0.86,V
335,0.05,-0.1,0.68,V
336,-0.09,-0.03,0.95,V
337,-0.13,-0.04,0.98,V
338,-0.18,-0.06,1.06,V
339,-0.01,0.01,0.92,V
340,0.04,-0.12,0.79,V
341,-0.01,-0.06,0.76,V
342,-0.12,-0.05,1.04,V
343,-0.13,-0.1,1.07,V
344,0.01,-0.05,0.86,V
345,0.02,-0.05,0.79,V
346,0.0,-0.09,0.86,V
347,-0.05,-0.08,0.89,V
348,-0.1,-0.14,0.93,V
349,-0.12,-0.11,1.09,V
350,-0.01,-0.23,0.79,V
351,0.06,-0.14,0.73,V
352,-0.1,-0.05,0.99,V
353,-0.14,-0.16,1.04,V
354,-0.01,-0.01,0.86,V
355,0.04,-0.03,0.76,V
356,0.0,-0.07,0.86,V
357,-0.17,-0.08,1.11,V
358,-0.14,-0.02,1.04,V
359,-0.03,-0.17,0.92,V
360,0.05,-0.1,0.79,V
361,-0.01,-0.09,0.83,V
362,-0.18,-0.01,1.05,V
363,-0.14,-0.12,1.1,V
364,-0.03,0.01,0.9,V
365,0.02,-0.09,0.77,V
366,-0.08,-0.01,0.93,V
367,-0.17,-0.08,1.21,V
368,-0.12,-0.07,1.1,V
369,0.02,-0.06,0.92,V
370,0.07,-0.07,0.83,V
371,0.03,-0.12,0.9,V
372,-0.09,-0.05,0.96,V
373,-0.15,-0.13,1.16,V
374,-0.03,0.01,0.88,V
375,0.03,-0.03,0.76,V
376,0.01,-0.01,0.82,V
377,-0.13,-0.0,1.08,V
378,-0.12,-0.07,1.07,V
379,0.05,-0.07,0.83,V
380,0.03,-0.11,0.76,V
381,-0.05,-0.02,1.0,V
382,-0.11,-0.09,1.0,V
383,-0.1,0.07,1.0,V
384,0.04,-0.0,0.81,V
385,0.01,-0.07,0.81,V
386,-0.09,0.01,0.93,V
387,-0.15,-0.01,1.02,V
388,-0.19,-0.0,1.14,V
389,0.03,-0.01,0.85,V
390,0.05,-0.09,0.7,V
391,-0.11,0.1,1.05,V
392,-0.34,-0.18,1.21,V
393,-0.12,-0.09,1.06,V
394,-0.01,-0.0,0.91,V
395,0.02,0.02,0.82,V
396,-0.05,0.13,0.9,V
397,-0.16,0.05,1.15,V
398,-0.02,-0.16,0.9,V
399,0.03,-0.11,0.81,V
400,0.03,-0.05,0.82,V
401,-0.27,-0.02,1.25,V
402,-0.15,0.06,1.11,V
403,0.01,-0.03,0.83,V
404,-0.04,-0.06,0.78,V
405,-0.14,-0.04,1.12,V
406,-0.08,-0.09,1.02,V
407,0.04,-0.1,0.84,V
408,0.02,-0.11,0.83,V
409,-0.15,0.01,1.12,V
410,-0.2,-0.03,1.26,V
411,0.0,0.0,0.81,V
412,0.03,-0.04,0.76,V
413,-0.09,0.02,0.98,V
414,-0.11,-0.04,0.98,V
415,-0.05,-0.08,0.93,V
416,0.04,-0.13,0.72,V
417,-0.02,-0.13,0.92,V
418,-0.09,-0.06,0.99,V
419,-0.09,-0.08,0.95,V
420,0.06,-0.02,0.75,V
421,0.05,-0.01,0.77,V
422,-0.1,-0.0,0.86,V
423,-0.17,0.04,1.15,V
424,-0.1,-0.11,0.93,V
425,0.03,-0.03,0.85,V
426,0.04,-0.18,0.77,V
427,-0.08,-0.03,1.02,V
428,-0.18,-0.11,1.17,V
429,-0.03,-0.05,0.89,V
430,0.04,-0.07,0.79,V
431,-0.07,-0.09,0.85,V
432,-0.11,-0.06,1.04,V
433,-0.17,-0.05,1.2,V
434,0.01,-0.18,0.79,V
435,0.05,-0.08,0.74,V
436,-0.1,-0.03,1.04,V
437,-0.16,-0.15,1.0,V
438,-0.11,-0.06,0.99,V
439,0.02,-0.02,0.75,V
440,-0.05,-0.03,0.89,V
441,-0.19,-0.06,1.21,V
442,-0.06,-0.1,1.01,V
443,0.03,-0.17,0.8,V
444,0.03,-0.08,0.92,V
445,-0.07,-0.1,0.95,V
446,-0.18,-0.04,1.13,V
447,-0.11,-0.06,0.99,V
448,0.0,-0.08,0.86,V
449,0.05,-0.04,0.8,V
450,-0.14,-0.03,1.05,V
451,-0.12,-0.05,0.98,V
452,-0.12,-0.11,0.89,V
453,-0.1,-0.06,1.07,V
454,0.01,-0.18,0.8,V
455,0.04,-0.08,0.73,V
456,-0.11,-0.04,1.08,V
457,-0.18,-0.15,1.2,V
458,-0.06,-0.02,0.9,V
459,-0.01,-0.05,0.8,V
460,-0.08,-0.02,0.94,V
461,-0.17,-0.06,1.15,V
462,-0.11,-0.09,1.09,V
463,-0.0,-0.15,0.9,V
464,0.01,-0.16,0.82,V
465,-0.09,-0.02,0.99,V
466,-0.23,-0.12,1.21,V
467,-0.15,-0.01,1.08,V
468,-0.03,-0.01,0.8,V
469,0.0,-0.05,0.81,V
470,-0.12,0.01,0.6,V
471,-0.15,-0.03,1.03,V
472,-0.18,-0.05,1.19,V
473,-0.03,-0.17,0.91,V
474,0.06,-0.13,0.76,V
475,-0.08,-0.13,0.94,V
476,-0.18,-0.12,1.09,V
477,-0.14,-0.09,0.96,V
478,-0.04,-0.12,0.88,V
479,-0.02,-0.02,0.79,V
480,-0.09,0.02,0.96,V
481,-0.2,-0.07,1.17,V
482,-0.11,-0.09,0.97,V
483,0.03,-0.1,0.82,V
484,0.02,-0.1,0.87,V
485,-0.08,-0.06,0.9,V
486,-0.17,-0.03,1.08,V
487,-0.08,-0.05,0.96,V
488,-0.02,0.05,0.83,V
489,-0.03,0.03,0.81,V
490,-0.18,0.04,1.15,V
491,-0.21,-0.05,1.22,V
492,-0.03,-0.18,0.96,V
493,0.08,-0.05,0.76,V
494,0.07,-0.12,0.58,V
495,-0.3,-0.02,1.15,V
496,-0.31,-0.3,1.26,V
497,-0.26,-0.11,1.26,V
498,-0.01,0.19,0.56,V
499,0.09,0.17,0.58,V
500,-0.06,-0.08,0.8,V
501,-0.22,-0.18,1.42,V
502,-0.02,-0.27,0.87,V
503,0.06,-0.08,0.47,V
504,0.07,-0.08,0.65,V
505,-0.07,-0.15,0.92,V
506,-0.32,-0.17,1.53,V
507,-0.11,-0.02,0.99,V
508,0.01,0.21,0.59,V
509,-0.01,0.27,0.61,V
510,-0.37,0.04,1.35,V
511,-0.19,-0.17,1.29,V
512,0.07,-0.14,0.75,V
513,0.09,-0.12,0.59,V
514,-0.03,0.02,0.75,V
515,-0.27,-0.24,1.33,V
516,-0.15,-0.04,1.0,V
517,-0.05,0.17,0.83,V
518,0.05,0.22,0.54,V
519,-0.04,0.21,0.7,V
520,-0.46,0.01,1.71,V
521,-0.01,-0.08,0.89,V
522,0.04,-0.05,0.75,V
523,0.09,-0.02,0.67,V
524,-0.08,0.01,0.95,V
525,-0.32,-0.13,1.45,V
526,-0.14,-0.02,0.95,V
527,0.0,0.1,0.7,V
528,0.03,0.1,0.7,V
529,-0.29,0.14,1.27,V
530,-0.16,-0.16,1.18,V
531,0.01,-0.05,0.84,V
532,0.08,0.08,0.67,V
533,0.0,0.01,0.85,V
534,-0.36,-0.1,1.64,V
535,-0.14,-0.03,0.95,V
536,-0.02,0.09,0.9,V
537,0.1,0.04,0.57,V
538,-0.05,0.09,0.89,V
539,-0.09,0.08,1.21,V
540,0.01,-0.14,0.82,V
541,0.06,-0.12,0.66,V
542,-0.02,-0.09,0.87,V
543,-0.21,-0.11,1.37,V
544,-0.03,-0.02,0.92,V
545,0.01,0.02,0.75,V
546,0.02,0.08,0.75,V
547,-0.27,0.07,1.26,V
548,-0.18,0.07,1.21,V
549,-0.02,-0.02,0.87,V
550,0.08,-0.03,0.64,V
551,-0.08,-0.02,0.94,V
552,-0.2,0.07,1.23,V
553,-0.05,-0.02,0.92,V
554,0.03,0.14,0.76,V
555,0.01,0.08,0.75,V
556,-0.2,0.12,1.14,V
557,-0.14,0.06,1.15,V
558,0.03,0.02,0.75,V
559,0.01,-0.05,0.76,V
