X,Y,Z,Label
175,-42,985,Z
177,12,981,Z
186,57,971,Z
172,117,904,Z
174,189,905,Z
179,257,863,Z
190,339,812,Z
193,436,760,Z
208,540,723,Z
188,628,705,Z
162,710,740,Z
127,735,815,Z
123,752,866,Z
118,754,883,Z
118,765,899,Z
110,808,911,Z
105,846,895,Z
99,875,869,Z
108,902,861,Z
108,915,858,Z
95,938,830,Z
109,938,864,Z
99,944,876,Z
97,885,907,Z
83,831,910,Z
58,760,939,Z
42,715,960,Z
24,680,970,Z
42,659,971,Z
62,644,962,Z
69,628,918,Z
91,636,880,Z
78,640,818,Z
85,616,801,Z
102,601,801,Z
104,597,802,Z
84,587,816,Z
82,550,816,Z
81,498,792,Z
100,469,805,Z
114,428,795,Z
175,370,854,Z
195,324,864,Z
211,269,914,Z
202,233,965,Z
203,219,953,Z
187,221,912,Z
182,209,888,Z
202,231,876,Z
229,197,915,Z
266,143,977,Z
270,95,1046,Z
281,38,1042,Z
260,-18,1065,Z
230,-43,1056,Z
249,-68,1052,Z
258,-65,1075,Z
286,-56,1069,Z
295,-48,1065,Z
304,-45,1048,Z
293,-71,1022,Z
291,-70,1014,Z
277,-80,1017,Z
291,-84,974,Z
332,-73,946,Z
349,-100,964,Z
371,-117,1024,Z
368,-125,1084,Z
352,-144,1140,Z
345,-126,1144,Z
341,-135,1111,Z
371,-134,1032,Z
396,-157,1009,Z
414,-169,1026,Z
421,-205,1041,Z
403,-215,1069,Z
372,-226,1050,Z
383,-225,1047,Z
392,-223,1050,Z
406,-238,1055,Z
431,-245,1093,Z
459,-269,1089,Z
470,-294,1102,Z
463,-306,1085,Z
485,-303,1075,Z
465,-267,1065,Z
457,-225,1042,Z
436,-192,1039,Z
449,-182,1030,Z
457,-183,1018,Z
473,-173,1024,Z
481,-192,1029,Z
477,-211,1056,Z
469,-209,1021,Z
487,-208,994,Z
500,-243,980,Z
507,-239,934,Z
512,-209,883,Z
504,-184,883,Z
511,-177,947,Z
514,-194,1023,Z
514,-202,1070,Z
524,-228,1138,Z
527,-258,1164,Z
553,-246,1158,Z
583,-227,1140,Z
607,-204,1129,Z
611,-155,1140,Z
616,-129,1167,Z
606,-111,1189,Z
601,-101,1222,Z
596,-74,1236,Z
585,-35,1274,Z
555,8,1295,Z
573,43,1289,Z
579,74,1212,Z
614,110,1110,Z
609,180,1011,Z
591,241,966,Z
563,288,922,Z
528,372,926,Z
463,463,920,Z
427,513,955,Z
435,555,910,Z
426,626,863,Z
439,690,804,Z
443,716,736,Z
418,758,676,Z
404,815,636,Z
364,811,625,Z
355,797,648,Z
336,817,690,Z
303,838,744,Z
265,816,773,Z
273,796,827,Z
266,782,828,Z
254,739,827,Z
251,669,835,Z
234,615,806,Z
234,590,778,Z
240,571,794,Z
220,542,781,Z
215,519,854,Z
206,499,890,Z
191,480,920,Z
190,440,926,Z
190,405,904,Z
175,377,884,Z
171,355,846,Z
175,345,812,Z
171,321,823,Z
160,300,852,Z
155,290,849,Z
164,266,865,Z
163,248,914,Z
170,230,946,Z
174,226,970,Z
163,233,968,Z
176,241,982,Z
173,228,983,Z
177,227,988,Z
196,236,961,Z
179,243,932,Z
186,243,920,Z
196,236,941,Z
212,209,952,Z
205,229,960,Z
205,228,978,Z
206,237,988,Z
211,241,989,Z
212,246,977,Z
208,265,961,Z
208,280,958,Z
210,288,953,Z
220,282,965,Z
218,283,941,Z
214,276,942,Z
218,281,949,Z
215,282,957,Z
208,277,986,Z
220,271,996,Z
217,258,1001,Z
222,251,1015,Z
220,240,1005,Z
218,250,988,Z
218,237,975,Z
205,242,988,Z
207,260,944,Z
193,262,941,Z
209,275,931,Z
219,271,935,Z
208,276,935,Z
200,264,967,Z
206,240,983,Z
212,245,963,Z
217,255,963,Z
209,254,933,Z
218,261,936,Z
215,271,917,Z
234,290,926,Z
234,305,936,Z
226,321,951,Z
249,291,991,Z
233,296,990,Z
235,299,1023,Z
241,303,1015,Z
259,310,1018,Z
256,323,1016,Z
263,341,988,Z
277,348,963,Z
267,355,956,Z
269,342,978,Z
94,93,997,Z
99,87,972,Z
96,80,967,Z
100,90,975,Z
109,87,986,Z
108,93,981,Z
104,94,994,Z
103,86,993,Z
100,97,1007,Z
88,99,1021,Z
91,103,993,Z
109,106,983,Z
104,111,994,Z
107,124,985,Z
104,115,974,Z
99,109,962,Z
128,94,973,Z
119,99,978,Z
109,106,982,Z
109,110,994,Z
120,122,995,Z
