X,Y,Z,Label
181,-193,1024,V
162,-198,1014,V
143,-212,992,V
142,-205,981,V
146,-198,984,V
146,-212,995,V
87,83,977,V
84,95,970,V
82,105,960,V
84,117,939,V
72,104,912,V
74,113,911,V
74,106,895,V
88,119,906,V
87,132,886,V
88,136,878,V
100,145,851,V
99,147,856,V
97,140,833,V
89,138,837,V
94,116,813,V
108,122,826,V
104,110,810,V
105,134,815,V
120,142,828,V
95,156,815,V
99,178,790,V
84,166,761,V
99,185,751,V
139,183,750,V
155,169,747,V
156,190,767,V
139,184,790,V
103,185,814,V
97,218,786,V
112,239,775,V
145,248,779,V
174,270,797,V
176,251,829,V
169,231,846,V
139,197,827,V
111,169,806,V
114,183,808,V
151,203,783,V
190,237,806,V
213,273,838,V
229,293,853,V
211,337,854,V
205,373,822,V
211,409,785,V
234,448,756,V
261,430,768,V
280,396,820,V
282,372,861,V
298,331,876,V
280,326,839,V
279,346,804,V
313,385,805,V
376,376,826,V
425,350,833,V
465,310,826,V
489,207,860,V
492,173,923,V
524,145,938,V
562,210,984,V
619,255,1052,V
620,314,1067,V
703,353,1092,V
755,283,1054,V
738,214,1092,V
719,165,1147,V
689,131,1131,V
675,109,1147,V
673,148,1143,V
680,170,1161,V
713,200,1170,V
724,224,1201,V
737,188,1221,V
726,150,1214,V
722,124,1249,V
690,101,1181,V
688,101,1192,V
670,114,1180,V
661,139,1190,V
649,152,1195,V
646,164,1187,V
640,139,1140,V
620,140,1077,V
614,174,1046,V
610,201,1000,V
600,216,961,V
565,245,937,V
538,262,924,V
527,254,862,V
504,277,846,V
517,293,796,V
502,303,788,V
498,319,788,V
495,306,753,V
483,318,761,V
473,316,737,V
476,319,712,V
467,324,722,V
477,315,749,V
468,304,772,V
453,311,758,V
451,320,767,V
459,354,770,V
469,375,775,V
468,397,795,V
468,401,792,V
471,402,812,V
473,401,846,V
466,429,915,V
495,456,954,V
491,462,1006,V
506,484,1035,V
547,485,1042,V
543,482,1045,V
557,479,1061,V
572,486,1076,V
572,466,1116,V
564,462,1148,V
564,430,1184,V
561,415,1203,V
552,398,1214,V
564,389,1197,V
565,357,1147,V
560,339,1127,V
535,321,1116,V
522,280,1124,V
507,251,1122,V
493,238,1068,V
484,244,1060,V
470,250,1049,V
462,255,1075,V
469,230,1121,V
450,247,1116,V
455,213,1095,V
443,192,1134,V
415,189,1080,V
425,218,1060,V
410,231,1055,V
400,255,1054,V
403,250,1056,V
370,219,1043,V
356,183,1031,V
321,106,1008,V
302,4,997,V
266,-64,1014,V
267,-73,999,V
270,-49,990,V
281,-8,932,V
265,11,905,V
249,-6,883,V
220,-54,844,V
182,-96,821,V
154,-130,841,V
156,-180,840,V
149,-216,870,V
173,-194,882,V
192,-158,890,V
229,-128,853,V
237,-85,830,V
248,-82,780,V
235,-160,815,V
195,-239,821,V
155,-351,829,V
123,-452,831,V
119,-457,808,V
151,-398,791,V
198,-310,759,V
223,-223,694,V
217,-176,618,V
199,-185,541,V
179,-231,484,V
123,-366,491,V
56,-452,510,V
21,-567,578,V
-11,-595,627,V
11,-503,597,V
64,-382,577,V
61,-281,580,V
62,-204,602,V
31,-196,615,V
-19,-243,638,V
-41,-291,652,V
-53,-338,684,V
-62,-372,740,V
-45,-373,828,V
-14,-333,872,V
18,-260,917,V
42,-207,936,V
59,-195,973,V
60,-219,999,V
59,-252,1021,V
58,-296,1024,V
74,-287,1058,V
91,-277,1046,V
122,-216,1040,V
146,-166,1020,V
158,-140,1045,V
172,-151,1086,V
174,-184,1105,V
156,-200,1091,V
137,-237,1057,V
107,-252,1062,V
104,-234,1043,V
93,-229,1005,V
97,-217,993,V
85,-208,959,V
73,-195,974,V
68,-203,1004,V
48,-225,1011,V
56,-236,1000,V
43,-256,1006,V
45,-250,947,V
44,-235,970,V
63,-229,974,V
58,-210,977,V
69,-218,971,V
65,-220,983,V
60,-241,977,V
48,-249,950,V
60,-249,975,V
77,-254,991,V
89,-262,986,V
89,-272,1008,V
89,-281,987,V
73,-290,965,V
90,-283,967,V
106,-314,943,V
-9,290,907,V
4,337,882,V
4,329,846,V
22,338,841,V
44,317,875,V
59,261,929,V
57,222,970,V
44,178,960,V
59,171,1001,V
57,187,999,V
83,169,1000,V
108,167,1021,V
113,160,1009,V
103,136,1023,V
81,125,1037,V
77,117,1061,V
69,120,1036,V
66,140,1023,V
84,133,1025,V
72,117,1028,V
76,116,982,V
71,113,957,V
60,115,952,V
58,131,943,V
59,143,950,V
57,155,933,V
64,166,885,V
55,172,872,V
49,193,837,V
52,196,809,V
61,217,762,V
52,236,725,V
55,229,712,V
81,231,708,V
99,222,714,V
122,212,732,V
111,224,739,V
113,222,742,V
105,250,732,V
107,290,729,V
130,321,716,V
159,349,698,V
184,334,738,V
189,285,781,V
156,234,849,V
135,208,839,V
108,204,816,V
94,239,800,V
109,275,770,V
134,299,751,V
139,306,733,V
140,300,762,V
126,275,780,V
106,238,778,V
90,217,774,V
90,209,783,V
116,221,840,V
160,199,886,V
191,195,922,V
243,140,933,V
221,102,867,V
236,100,816,V
243,113,813,V
240,153,820,V
266,223,752,V
317,298,722,V
356,306,724,V
349,315,751,V
376,312,781,V
407,289,819,V
470,236,785,V
497,193,767,V
496,208,785,V
533,231,895,V
568,253,985,V
635,313,1095,V
702,333,1167,V
710,324,1193,V
722,283,1193,V
721,243,1133,V
688,194,1156,V
695,139,1154,V
680,164,1216,V
698,138,1307,V
702,94,1361,V
670,65,1394,V
679,59,1383,V
688,88,1331,V
660,110,1272,V
638,106,1229,V
617,93,1164,V
589,92,1136,V
608,106,1143,V
580,112,1155,V
579,149,1162,V
592,169,1113,V
583,210,1047,V
594,221,999,V
596,203,960,V
569,186,946,V
549,166,956,V
555,170,977,V
558,180,988,V
562,206,966,V
559,232,955,V
556,243,898,V
557,240,867,V
549,227,856,V
537,230,808,V
536,232,823,V
531,212,867,V
511,218,832,V
525,252,834,V
525,276,820,V
534,271,824,V
528,256,836,V
511,269,799,V
520,265,771,V
515,291,796,V
518,301,818,V
515,308,853,V
521,328,861,V
514,336,898,V
519,329,907,V
513,328,950,V
518,331,979,V
547,367,1031,V
556,387,1036,V
573,430,1089,V
584,424,1074,V
578,418,1101,V
579,413,1111,V
570,398,1142,V
567,379,1147,V
567,370,1150,V
554,352,1184,V
545,338,1167,V
543,332,1141,V
535,331,1120,V
539,326,1099,V
526,318,1100,V
528,308,1081,V
520,281,1095,V
500,275,1088,V
490,261,1076,V
469,270,1062,V
463,302,1057,V
480,296,1031,V
453,295,1009,V
423,292,1001,V
409,277,1031,V
416,248,1021,V
411,227,1034,V
400,203,1046,V
401,204,1012,V
399,211,995,V
395,202,996,V
398,189,1002,V
381,165,996,V
365,137,1017,V
377,111,961,V
329,39,989,V
301,7,1041,V
296,10,997,V
275,13,993,V
288,26,989,V
276,27,933,V
274,13,915,V
264,-28,906,V
234,-70,852,V
227,-108,840,V
217,-142,896,V
206,-119,925,V
195,-103,924,V
227,-88,964,V
219,-109,945,V
200,-123,900,V
154,-154,889,V
111,-169,823,V
96,-221,822,V
53,-301,869,V
39,-351,871,V
47,-339,831,V
49,-301,816,V
59,-257,766,V
80,-205,705,V
86,-186,661,V
66,-215,616,V
52,-250,543,V
18,-309,529,V
-1,-362,543,V
-22,-342,528,V
-32,-277,552,V
-16,-219,570,V
-4,-175,578,V
-39,-170,628,V
-68,-185,643,V
-101,-214,654,V
-117,-247,738,V
-131,-264,763,V
-107,-258,812,V
-98,-257,854,V
-72,-252,836,V
-90,-219,865,V
-73,-197,867,V
-66,-183,893,V
-70,-190,905,V
-67,-216,890,V
-65,-213,898,V
-41,-207,927,V
-45,-197,939,V
-24,-180,970,V
-15,-173,971,V
-19,-165,966,V
-19,-158,984,V
-17,-153,1002,V
-18,-166,1044,V
-15,-171,1038,V
2,-173,1060,V
48,224,929,V
64,198,958,V
51,174,985,V
41,161,1013,V
48,137,1021,V
48,149,981,V
57,176,945,V
72,174,969,V
82,167,980,V
76,154,990,V
73,143,1003,V
65,146,1030,V
64,138,1001,V
66,176,997,V
81,205,947,V
94,227,953,V
86,239,907,V
59,228,857,V
68,232,841,V
67,220,865,V
62,205,861,V
50,203,867,V
48,216,845,V
53,208,842,V
47,220,820,V
53,228,809,V
54,211,788,V
50,193,774,V
37,194,729,V
55,180,696,V
56,182,706,V
66,206,728,V
102,213,776,V
120,218,782,V
142,203,799,V
